iter	Logloss
0	0.5934747658
1	0.5268258651
2	0.4779651325
3	0.4476232859
4	0.4228330516
5	0.4032933706
6	0.3907256267
7	0.3801559982
8	0.3717865796
9	0.364204958
10	0.3583474743
11	0.353067707
12	0.3493739387
13	0.3463112035
14	0.3435351734
15	0.3416018387
16	0.3395623871
17	0.3375614023
18	0.3356812432
19	0.3343276851
20	0.333039049
21	0.3318467343
22	0.3306133438
23	0.3290728651
24	0.3276332025
25	0.3271071297
26	0.3260903361
27	0.3253332395
28	0.3246063089
29	0.3236655385
30	0.3230611174
31	0.3224935046
32	0.3222352701
33	0.3217124174
34	0.3212353586
35	0.320620791
36	0.3202256173
37	0.3196775683
38	0.3194101562
39	0.3190202775
40	0.3183435567
41	0.3180098475
42	0.3176502109
43	0.3170094134
44	0.3164131725
45	0.3159110661
46	0.315360669
47	0.3151496934
48	0.3146121039
49	0.3142164211
50	0.3138137226
51	0.3131406613
52	0.3124787678
53	0.3122343641
54	0.3120836911
55	0.3117738483
56	0.3113154599
57	0.3111017491
58	0.3109684183
59	0.3105767213
60	0.3101159418
61	0.3099135246
62	0.3097083076
63	0.3093303058
64	0.308990592
65	0.3088232637
66	0.3086669959
67	0.3085333796
68	0.3083442994
69	0.3082367824
70	0.3079767034
71	0.3077746766
72	0.307598432
73	0.3073791239
74	0.3070497893
75	0.306895436
76	0.306624195
77	0.30646308
78	0.3062376268
79	0.3061331756
80	0.3057270737
81	0.3054666345
82	0.3052216752
83	0.3050939633
84	0.3048707685
85	0.3046396464
86	0.3042963747
87	0.3041588473
88	0.3039006499
89	0.3038094508
90	0.3036609609
91	0.3034145956
92	0.3032427216
93	0.3030612038
94	0.3030019866
95	0.3027822496
96	0.3026700103
97	0.3024526078
98	0.3021938696
99	0.3019827994
100	0.3017921014
101	0.3016948047
102	0.3015332351
103	0.3013449452
104	0.301209272
105	0.3010964715
106	0.3009204817
107	0.3006987507
108	0.3005407709
109	0.3003759249
110	0.3003329808
111	0.3001827073
112	0.3000423974
113	0.2999380244
114	0.2997715636
115	0.2996770434
116	0.2996085203
117	0.2994835644
118	0.2992710318
119	0.299109729
120	0.2990284782
121	0.29887532
122	0.298742258
123	0.2986609536
124	0.2985497829
125	0.2984919576
126	0.2983475351
127	0.2981738179
128	0.2980464287
129	0.2979330055
130	0.2977542608
131	0.2976595038
132	0.2975382041
133	0.2973616384
134	0.2971254393
135	0.2970112657
136	0.2969169568
137	0.2967963362
138	0.296640924
139	0.296514609
140	0.2963564089
141	0.2962393553
142	0.2961810118
143	0.2959961833
144	0.2958243334
145	0.2956895634
146	0.2955442697
147	0.2953448176
148	0.2952595132
149	0.295135605
150	0.2950460109
151	0.2949800088
152	0.2948852537
153	0.2947647232
154	0.2945879033
155	0.2944825308
156	0.2943810201
157	0.2942766063
158	0.2940902429
159	0.2940020129
160	0.2939106189
161	0.2937874579
162	0.2937013974
163	0.2935356181
164	0.2933917399
165	0.2932941507
166	0.2931702185
167	0.2929939903
168	0.2928830065
169	0.2927927383
170	0.2927262957
171	0.2925817197
172	0.2924995108
173	0.2924104798
174	0.2923646184
175	0.2922889406
176	0.2921943862
177	0.2921313125
178	0.2920911187
179	0.2919929704
180	0.291923324
181	0.2918185255
182	0.2917136749
183	0.2916558486
184	0.2915443613
185	0.2914803429
186	0.2913909431
187	0.2913270457
188	0.2912719918
189	0.2912356115
190	0.2911407866
191	0.2910591554
192	0.291029181
193	0.2909884421
194	0.2908805586
195	0.2908069336
196	0.2907452165
197	0.2906799061
198	0.2905957195
199	0.2904567397
